product_category,product_name,product_img_url,product_source,product_price,idx
heels,Monrow,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/1858153/2017/5/2/11493718705857-Monrow-Women-Black-Solid-Sandals-6291493718705679-1.jpg",heels/monrow/monrow-black-lbb-fur-finesse-kitten-heels/1858153/buy,Rs. 1299,2494
shorts,The Souled Store,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18622080/2022/6/4/79f51b89-5d60-4126-865c-83052519f3e21654342721762Shorts1.jpg",shorts/the-souled-store/the-souled-store-men-olive-green-shorts/18622080/buy,Rs. 999,569
skirt,PATRORNA,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17898468/2022/4/16/c181d76e-5e1b-4ee6-a642-3dc0a3bd257a1650092599012PatrornaWomensPlusSizesA-LineSkirtInCharcoalGrey1.jpg",skirts/patrorna/patrorna-women-grey-solid-a-line-skirt/17898468/buy,Rs. 949,2128
flats,DressBerry,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16031580/2022/6/7/df3f1d31-78e5-44b7-94c0-1d0821d6e9a51654605755940-DressBerry-Women-Black-Open-Toe-Flats-7971654605755565-1.jpg",flats/dressberry/dressberry-women-black-open-toe-flats/16031580/buy,Rs. 1099,533
skirt,U&F,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/1/5/12587c47-31f8-45af-91b6-f5f746f082551609828679130-1.jpg",skirts/uf/uf-women-green-solid-accordion-pleat-maxi-flared-skirt/13362282/buy,Rs. 611,453
shorts,ARISE,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13846216/2021/3/24/0aac4c3b-b4b8-406d-8610-31b5659d4f041616574603597-ARISE-Men-Shorts-9151616574602458-1.jpg",shorts/arise/arise-men-white-solid-regular-fit-regular-shorts/13846216/buy,Rs. 599,143
hats,Marks & Spencer,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17847812/2022/4/11/33a67d30-15d1-48a8-bb97-ddb95a9a889e1649670957462Hat1.jpg",hat/marks--spencer/-marks--spencer-infants-white-printed-pure-cotton-hat/17847812/buy,None,770
heels,Van Heusen Woman,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18231136/2022/5/12/003fa998-f7df-4e67-ab8a-2687870d34d61652335824083VanHeusenWomanBlackPUKittenPumps1.jpg",heels/van-heusen-woman/van-heusen-woman-black-pu-kitten-pumps/18231136/buy,Rs. 2209,1378
jacket,U.S. Polo Assn. Denim Co.,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14677708/2021/12/3/381280ac-7b99-4c6a-b7dc-bd0fb89d988a1638524041804-U-S-Polo-Assn-Denim-Co-Men-Navy-Blue--Red-Colourblocked-Spor-1.jpg",jackets/us-polo-assn-denim-co/u-s-polo-assn-denim-co-men-navy-blue--red-colourblocked-sporty-jacket/14677708/buy,Rs. 2749,524
t-shirt,WROGN,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17025272/2022/4/27/a88a7e93-0de1-42a2-887f-3ca703f4045d1651062676396-WROGN-Men-Navy-Blue--Pink-Printed-Slim-Fit-T-shirt-757165106-1.jpg",tshirts/wrogn/wrogn-men-navy-blue--pink-printed-slim-fit-casual-t-shirt/17025272/buy,Rs. 575,383
